,Image,Label
0,19567,9
1,29993,6 4
2,17186,1 4
3,29600,6 2
4,701,3 4
5,26562,9
6,1080,4
7,27886,4
8,30721,6
9,15838,1 4
10,5213,4
11,15952,6 4
12,30744,1 4
13,29990,4
14,8672,3 4
15,14912,4
16,12002,6 7
17,615,0
18,25586,2
19,22335,6 4
20,12958,2
21,10701,3 4
22,8261,2 4
23,20932,6 4
24,23905,6 4
25,2418,9
26,6179,6 1 4
27,3950,3 4
28,12015,4
29,11289,6 4 7
30,30118,6 4
31,11193,4
32,30285,0
33,14190,6 0 4
34,21621,8 4
35,28733,6
36,31060,4
37,16920,9 7
38,5700,6 9
39,29262,1
40,16139,6 4
41,26015,0
42,10451,1
43,13873,2
44,2691,4
45,27513,6 9
46,5416,6 4
47,28271,8 4
48,18798,3
49,5425,1
50,8264,6 4
51,19026,2
52,5013,2
53,30402,6 4
54,5228,6
55,3937,3
56,12805,4
57,2322,8 4
58,6444,6 5
59,18679,4
60,10529,0
61,14750,4
62,9163,4 7
63,11430,2
64,4755,9 7
65,10825,4
66,28395,3 2 4
67,25494,9
68,10921,7
69,7657,6 4
70,21071,7
71,21441,9 7
72,28332,0 4
73,3386,3 2
74,3228,2 4
75,19205,1
76,22858,7
77,22931,8
78,5500,3 4
79,23873,6 4
80,6848,1 4
81,30979,6
82,29437,0 4
83,23198,4 7
84,8356,6 4
85,25779,4
86,22790,6 9
87,13110,9
88,9659,3
89,25699,1 2
90,22204,4 7
91,8155,4
92,29243,6 0 2
93,29928,2
94,1855,6 2 4
95,28696,8 6
96,24196,5
97,4189,6 4
98,22620,6 4
99,5503,1
100,8588,2
101,17538,9
102,20628,6 9
103,17360,4
104,14466,7
105,1478,0
106,14933,8 4
107,10786,4
108,27051,1
109,21904,4
110,24027,2 4
111,11865,4
112,10119,8 3
113,26531,6 0 4
114,17479,4 7
115,28849,2 4
116,9475,7
117,17874,6 4
118,19161,4
119,30425,6
120,27654,6
121,20160,6 4 7
122,20305,8 4
123,21199,5 4
124,28619,8
125,28470,8 6 4
126,18600,6 3
127,1367,0 1 4
128,29140,6 4
129,11133,9
130,537,6 2 4
131,21285,4
132,25824,4
133,26917,8
134,13486,6
135,20052,3
136,3490,4
137,10059,5
138,3012,6 4
139,13634,4 7
140,30330,6 4
141,13892,5
142,25462,3 7
143,18374,4 7
144,29436,5
145,403,4
146,13967,6 3
147,206,4
148,5939,4
149,28742,9
150,8472,3
151,27046,4
152,3948,4
153,1917,2
154,14955,4
155,25230,3 4
156,13831,0 4
157,29902,8 1
158,17229,2 4
159,22449,6
160,5543,0
161,19686,0
162,12605,7
163,28973,1
164,30172,8 6
165,2084,4
166,24232,9
167,14435,2 4 7
168,10040,1
169,30055,0
170,8980,4
171,17753,6 4
172,2870,7
173,3462,6 2 4
174,30249,4
175,10666,3 9
176,24621,7
177,25205,0 4
178,10979,0
179,7489,6 4
180,16334,2 4
181,13082,9 2
